run,steps,seed
671,1,554807765
666,4,554807760
668,4,554807762
648,11,554807742
669,4,554807763
677,1,554807771
672,3,554807766
676,2,554807770
680,1,554807774
674,5,554807768
670,6,554807764
675,6,554807769
662,11,554807756
681,4,554807775
673,8,554807767
664,12,554807758
683,3,554807777
679,6,554807773
685,3,554807779
691,1,554807785
687,3,554807781
684,6,554807778
690,3,554807784
694,1,554807788
656,17,554807750
692,2,554807786
693,2,554807787
644,22,554807738
695,2,554807789
701,1,554807795
678,10,554807772
700,2,554807794
688,6,554807782
703,1,554807797
707,1,554807801
689,8,554807783
696,5,554807790
697,5,554807791
686,9,554807780
699,6,554807793
702,5,554807796
704,5,554807798
712,2,554807806
706,3,554807800
714,1,554807808
698,8,554807792
710,3,554807804
711,4,554807805
721,2,554807815
713,6,554807807
719,5,554807813
716,5,554807810
724,1,554807818
717,4,554807811
718,6,554807812
722,3,554807816
705,11,554807799
729,1,554807823
728,2,554807822
730,2,554807824
723,5,554807817
682,21,554807776
726,4,554807820
731,4,554807825
733,3,554807827
736,2,554807830
727,6,554807821
734,3,554807828
735,4,554807829
740,2,554807834
741,2,554807835
715,15,554807809
738,4,554807832
745,1,554807839
743,2,554807837
720,15,554807814
725,10,554807819
746,1,554807840
748,1,554807842
709,17,554807803
742,5,554807836
747,3,554807841
750,2,554807844
754,1,554807848
744,5,554807838
751,3,554807845
753,2,554807847
758,1,554807852
755,2,554807849
739,9,554807833
752,4,554807846
749,5,554807843
761,1,554807855
763,1,554807857
765,1,554807859
732,16,554807826
764,2,554807858
757,4,554807851
767,2,554807861
737,14,554807831
760,5,554807854
768,3,554807862
759,6,554807853
766,4,554807860
762,5,554807856
774,2,554807868
772,3,554807866
775,2,554807869
769,5,554807863
780,2,554807874
771,6,554807865
782,1,554807876
779,3,554807873
778,3,554807872
781,3,554807875
786,1,554807880
788,1,554807882
784,3,554807878
776,7,554807870
787,4,554807881
770,11,554807864
791,2,554807885
777,9,554807871
785,5,554807879
783,6,554807877
756,13,554807850
773,10,554807867
792,3,554807886
798,1,554807892
790,5,554807884
795,3,554807889
794,3,554807888
789,7,554807883
805,1,554807899
793,5,554807887
804,2,554807898
797,5,554807891
803,3,554807897
806,2,554807900
802,4,554807896
800,5,554807894
808,2,554807902
813,1,554807907
807,3,554807901
801,7,554807895
817,1,554807911
811,3,554807905
809,4,554807903
812,4,554807906
815,3,554807909
818,1,554807912
814,4,554807908
822,1,554807916
824,1,554807918
799,11,554807893
816,5,554807910
796,10,554807890
810,7,554807904
708,56,554807802
826,3,554807920
823,4,554807917
827,3,554807921
830,2,554807924
819,6,554807913
821,6,554807915
828,3,554807922
832,3,554807926
831,4,554807925
836,2,554807930
829,5,554807923
837,3,554807931
833,5,554807927
843,1,554807937
840,2,554807934
841,2,554807935
835,5,554807929
825,9,554807919
834,5,554807928
846,1,554807940
844,2,554807938
839,4,554807933
838,5,554807932
850,1,554807944
855,1,554807949
851,2,554807945
845,5,554807939
849,4,554807943
857,2,554807951
858,2,554807952
859,1,554807953
854,4,554807948
862,1,554807956
856,5,554807950
848,7,554807942
842,10,554807936
860,3,554807954
864,2,554807958
869,1,554807963
870,1,554807964
852,10,554807946
871,2,554807965
847,11,554807941
866,4,554807960
865,6,554807959
874,1,554807968
853,11,554807947
873,3,554807967
867,7,554807961
872,5,554807966
877,2,554807971
868,8,554807962
875,4,554807969
861,10,554807955
883,2,554807977
880,3,554807974
820,24,554807914
881,3,554807975
878,5,554807972
887,1,554807981
879,6,554807973
891,1,554807985
885,4,554807979
876,8,554807970
882,5,554807976
896,2,554807990
890,4,554807984
886,7,554807980
894,4,554807988
884,7,554807978
893,4,554807987
901,1,554807995
889,7,554807983
888,8,554807982
863,18,554807957
903,2,554807997
905,1,554807999
900,4,554807994
898,4,554807992
906,1,554808000
899,5,554807993
909,2,554808003
912,2,554808006
913,1,554808007
910,2,554808004
902,7,554807996
911,4,554808005
914,4,554808008
908,6,554808002
907,7,554808001
917,4,554808011
919,2,554808013
915,4,554808009
920,1,554808014
904,9,554807998
924,1,554808018
927,1,554808021
923,4,554808017
897,15,554807991
921,5,554808015
892,18,554807986
895,16,554807989
926,5,554808020
928,4,554808022
929,4,554808023
930,3,554808024
918,9,554808012
934,2,554808028
922,8,554808016
925,8,554808019
938,1,554808032
937,3,554808031
940,2,554808034
932,6,554808026
943,2,554808037
941,3,554808035
942,3,554808036
945,2,554808039
944,3,554808038
935,7,554808029
931,9,554808025
950,1,554808044
933,8,554808027
947,3,554808041
939,7,554808033
948,4,554808042
955,2,554808049
956,2,554808050
957,4,554808051
952,6,554808046
961,1,554808055
946,8,554808040
936,13,554808030
959,4,554808053
953,7,554808047
964,2,554808058
954,8,554808048
962,4,554808056
966,3,554808060
960,8,554808054
970,1,554808064
963,5,554808057
958,9,554808052
973,1,554808067
972,2,554808066
975,1,554808069
971,2,554808065
969,4,554808063
968,5,554808062
965,7,554808059
974,3,554808068
978,3,554808072
977,3,554808071
976,4,554808070
980,3,554808074
985,1,554808079
986,1,554808080
967,10,554808061
982,3,554808076
949,15,554808043
990,1,554808084
916,26,554808010
994,1,554808088
991,3,554808085
992,3,554808086
987,5,554808081
984,6,554808078
983,7,554808077
989,5,554808083
993,4,554808087
981,9,554808075
979,10,554808073
996,4,554808090
998,3,554808092
997,5,554808091
988,9,554808082
1000,6,554808094
999,6,554808093
995,10,554808089
951,53,554808045
