scenario,phi,num_obs,tau_run
Nc=Np,0.199951171875,3276,0.7700205110057823
Nc=Np,0.199951171875,3276,0.790709538334435
Nc=Np,0.199951171875,3276,0.7976051678745466
Nc=Np,0.199951171875,3276,0.8562776428508759
Nc=Np,0.199951171875,3276,0.7824486209325103
Nc=Np,0.199951171875,3276,0.8169490597111346
Nc=Np,0.199951171875,3276,0.7681115633938311
Nc=Np,0.199951171875,3276,0.7853854190868882
Nc=Np,0.199951171875,3276,0.8450337316496958
Nc=Np,0.199951171875,3276,0.7930543302084831
Nc=Np,0.199951171875,3276,0.811469791773897
Nc=Np,0.199951171875,3276,0.7946387996656015
Nc=Np,0.199951171875,3276,0.771003280683526
Nc=Np,0.199951171875,3276,0.814290609456192
Nc=Np,0.199951171875,3276,0.8302892382793441
Nc=Np,0.199951171875,3276,0.7826306864025847
Nc=Np,0.199951171875,3276,0.7364848680208249
Nc=Np,0.199951171875,3276,0.7956953090336463
Nc=Np,0.199951171875,3276,0.7704199489169128
Nc=Np,0.199951171875,3276,0.8277104506138395
Nc=Np,0.199951171875,3276,0.8830665036143611
Nc=Np,0.199951171875,3276,0.7393221692026737
Nc=Np,0.199951171875,3276,0.7703414120492083
Nc=Np,0.199951171875,3276,0.7827902144017183
Nc=Np,0.199951171875,3276,0.852919246473689
Nc=Np,0.199951171875,3276,0.8019789308366303
Nc=Np,0.199951171875,3276,0.7588341217071337
Nc=Np,0.199951171875,3276,0.8407076317131977
Nc=Np,0.199951171875,3276,0.8305856320645075
Nc=Np,0.199951171875,3276,0.7558949099158817
Nc=Np,0.199951171875,3276,0.8241488999995233
Nc=Np,0.199951171875,3276,0.773931900946121
Nc=Np,0.199951171875,3276,0.823883782784647
Nc=Np,0.199951171875,3276,0.7780696727730132
Nc=Np,0.199951171875,3276,0.80171535150217
Nc=Np,0.199951171875,3276,0.8201482691020572
Nc=Np,0.199951171875,3276,0.7744230395139676
Nc=Np,0.199951171875,3276,0.8554785961823509
Nc=Np,0.199951171875,3276,0.7936598422870313
Nc=Np,0.199951171875,3276,0.8132485656466133
Nc=Np,0.199951171875,3276,0.8164555544692491
Nc=Np,0.199951171875,3276,0.7793624546218945
Nc=Np,0.199951171875,3276,0.7603658174191936
Nc=Np,0.199951171875,3276,0.8202885320876878
