scenario,phi,num_obs,alpha_run
Nc=Np,0.29998779296875,4915,0.615698
Nc=Np,0.29998779296875,4915,0.638411
Nc=Np,0.29998779296875,4915,0.607707
Nc=Np,0.29998779296875,4915,0.614247
Nc=Np,0.29998779296875,4915,0.611171
Nc=Np,0.29998779296875,4915,0.626022
Nc=Np,0.29998779296875,4915,0.663664
Nc=Np,0.29998779296875,4915,0.617154
Nc=Np,0.29998779296875,4915,0.612132
Nc=Np,0.29998779296875,4915,0.636515
Nc=Np,0.29998779296875,4915,0.638769
Nc=Np,0.29998779296875,4915,0.6143
Nc=Np,0.29998779296875,4915,0.615933
Nc=Np,0.29998779296875,4915,0.626679
Nc=Np,0.29998779296875,4915,0.639609
Nc=Np,0.29998779296875,4915,0.657235
Nc=Np,0.29998779296875,4915,0.626471
Nc=Np,0.29998779296875,4915,0.619223
Nc=Np,0.29998779296875,4915,0.621188
Nc=Np,0.29998779296875,4915,0.62751
Nc=Np,0.29998779296875,4915,0.629191
Nc=Np,0.29998779296875,4915,0.653305
Nc=Np,0.29998779296875,4915,0.642556
Nc=Np,0.29998779296875,4915,0.634258
Nc=Np,0.29998779296875,4915,0.607091
Nc=Np,0.29998779296875,4915,0.6271
Nc=Np,0.29998779296875,4915,0.606981
Nc=Np,0.29998779296875,4915,0.637589
Nc=Np,0.29998779296875,4915,0.612614
Nc=Np,0.29998779296875,4915,0.632684
Nc=Np,0.29998779296875,4915,0.640633
Nc=Np,0.29998779296875,4915,0.622132
Nc=Np,0.29998779296875,4915,0.623671
Nc=Np,0.29998779296875,4915,0.619856
Nc=Np,0.29998779296875,4915,0.626417
Nc=Np,0.29998779296875,4915,0.654986
Nc=Np,0.29998779296875,4915,0.628044
Nc=Np,0.29998779296875,4915,0.659737
Nc=Np,0.29998779296875,4915,0.614336
Nc=Np,0.29998779296875,4915,0.654595
Nc=Np,0.29998779296875,4915,0.636378
Nc=Np,0.29998779296875,4915,0.644793
Nc=Np,0.29998779296875,4915,0.633055
Nc=Np,0.29998779296875,4915,0.621511
Nc=Np,0.29998779296875,4915,0.6379
Nc=Np,0.29998779296875,4915,0.609374
Nc=Np,0.29998779296875,4915,0.619927
Nc=Np,0.29998779296875,4915,0.654875
Nc=Np,0.29998779296875,4915,0.640915
Nc=Np,0.29998779296875,4915,0.620417
Nc=Np,0.29998779296875,4915,0.657501
Nc=Np,0.29998779296875,4915,0.606555
Nc=Np,0.29998779296875,4915,0.643219
Nc=Np,0.29998779296875,4915,0.622965
Nc=Np,0.29998779296875,4915,0.637794
Nc=Np,0.29998779296875,4915,0.619395
Nc=Np,0.29998779296875,4915,0.613856
Nc=Np,0.29998779296875,4915,0.631819
Nc=Np,0.29998779296875,4915,0.630866
Nc=Np,0.29998779296875,4915,0.618224
Nc=Np,0.29998779296875,4915,0.615667
Nc=Np,0.29998779296875,4915,0.630617
Nc=Np,0.29998779296875,4915,0.619201
Nc=Np,0.29998779296875,4915,0.616934
Nc=Np,0.29998779296875,4915,0.623574
Nc=Np,0.29998779296875,4915,0.611961
Nc=Np,0.29998779296875,4915,0.625043
Nc=Np,0.29998779296875,4915,0.622799
Nc=Np,0.29998779296875,4915,0.624857
Nc=Np,0.29998779296875,4915,0.638523
Nc=Np,0.29998779296875,4915,0.634645
Nc=Np,0.29998779296875,4915,0.647592
Nc=Np,0.29998779296875,4915,0.613906
Nc=Np,0.29998779296875,4915,0.620102
Nc=Np,0.29998779296875,4915,0.640258
Nc=Np,0.29998779296875,4915,0.658201
