scenario,phi,num_obs,run,d_run,n_reach,n_total,modo,periodic
Nc=Np,0.0999755859375,1638,75,1.4403147042864894,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,76,1.4134563212154097,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,77,1.4267498643516006,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,78,1.4154681139755767,3685,3686,por_presa,True
Nc=Np,0.0999755859375,1638,79,1.4104720564297342,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,80,1.4419424850786762,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,81,1.4091155724362452,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,82,1.413185024416712,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,83,1.4066739012479652,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,84,1.4088442756375474,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,85,1.4188822571893651,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,86,1.4004340748779165,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,87,1.4169831795984806,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,88,1.4234943027672273,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,89,1.3977211068909388,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,90,1.4205100379815518,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,91,1.4378730330982095,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,92,1.4186109603906674,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,93,1.4245794899620186,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,94,1.4378730330982095,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,95,1.4196961475854586,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,96,1.437330439500814,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,97,1.4302767227346718,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,98,1.4272924579489963,3686,3686,por_presa,True
Nc=Np,0.0999755859375,1638,99,1.4291915355398805,3686,3686,por_presa,True
Nc=Np,0.199951171875,3276,0,1.531622364802933,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,1,1.5410937977390773,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,2,1.4954100367197063,3268,3277,por_presa,True
Nc=Np,0.199951171875,3276,3,1.524013459773631,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,4,1.524931171612114,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,5,1.5025985937022317,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,6,1.500916870415648,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,7,1.5191189966350567,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,8,1.5067278287461774,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,9,1.516651390161931,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,10,1.5250764525993883,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,11,1.539755351681957,3270,3277,por_presa,True
