run,steps,seed
674,10,982726907
687,5,982726920
694,3,982726927
697,2,982726930
702,1,982726935
700,2,982726933
701,2,982726934
706,1,982726939
699,4,982726932
709,2,982726942
690,7,982726923
704,4,982726937
711,3,982726944
710,3,982726943
705,6,982726938
712,5,982726945
713,4,982726946
707,6,982726940
717,3,982726950
708,7,982726941
720,2,982726953
719,3,982726952
724,1,982726957
718,7,982726951
725,3,982726958
714,8,982726947
715,9,982726948
728,1,982726961
729,1,982726962
733,1,982726966
716,11,982726949
727,6,982726960
731,4,982726964
734,3,982726967
737,1,982726970
732,5,982726965
736,3,982726969
735,4,982726968
730,7,982726963
740,1,982726973
738,4,982726971
726,12,982726959
742,4,982726975
745,1,982726978
741,5,982726974
739,6,982726972
746,2,982726979
747,1,982726980
743,5,982726976
723,12,982726956
750,2,982726983
754,1,982726987
752,3,982726985
744,5,982726977
751,6,982726984
755,4,982726988
688,22,982726921
748,8,982726981
758,3,982726991
757,4,982726990
721,21,982726954
761,2,982726994
753,9,982726986
759,5,982726992
766,1,982726999
722,26,982726955
763,5,982726996
749,13,982726982
762,6,982726995
760,8,982726993
772,1,982727005
756,11,982726989
773,1,982727006
765,7,982726998
769,5,982727002
767,5,982727000
768,5,982727001
781,1,982727014
779,2,982727012
777,3,982727010
775,4,982727008
776,4,982727009
771,6,982727004
783,1,982727016
778,4,982727011
789,1,982727022
782,3,982727015
780,5,982727013
790,1,982727023
791,1,982727024
784,4,982727017
786,3,982727019
788,5,982727021
793,2,982727026
794,2,982727027
764,17,982726997
795,3,982727028
796,3,982727029
787,6,982727020
792,5,982727025
799,2,982727032
798,3,982727031
800,3,982727033
805,1,982727038
774,12,982727007
807,1,982727040
801,4,982727034
804,4,982727037
809,1,982727042
806,3,982727039
808,3,982727041
797,6,982727030
802,6,982727035
814,2,982727047
813,2,982727046
803,7,982727036
815,3,982727048
818,2,982727051
816,4,982727049
817,3,982727050
812,6,982727045
822,3,982727055
825,2,982727058
820,5,982727053
823,3,982727056
819,5,982727052
830,1,982727063
829,2,982727062
828,3,982727061
824,6,982727057
827,4,982727060
826,4,982727059
831,3,982727064
834,1,982727067
833,2,982727066
770,32,982727003
835,2,982727068
785,25,982727018
821,9,982727054
839,1,982727072
842,2,982727075
832,6,982727065
836,4,982727069
841,3,982727074
844,3,982727077
845,3,982727078
846,3,982727079
847,3,982727080
848,3,982727081
810,20,982727043
850,1,982727083
849,4,982727082
853,2,982727086
843,8,982727076
852,3,982727085
840,10,982727073
838,11,982727071
858,1,982727091
851,5,982727084
861,1,982727094
856,4,982727089
859,3,982727092
855,5,982727088
863,2,982727096
866,1,982727099
867,1,982727100
862,3,982727095
864,4,982727097
871,2,982727104
837,16,982727070
865,2,982727098
870,1,982727103
854,10,982727087
857,9,982727090
860,6,982727093
869,2,982727102
872,3,982727105
878,1,982727111
877,2,982727110
881,1,982727114
883,1,982727116
874,4,982727107
868,5,982727101
875,4,982727108
885,1,982727118
879,4,982727112
882,4,982727115
889,2,982727122
890,3,982727123
884,5,982727117
886,4,982727119
888,4,982727121
876,8,982727109
887,5,982727120
893,1,982727126
892,2,982727125
894,1,982727127
895,1,982727128
891,4,982727124
900,1,982727133
902,2,982727135
896,3,982727129
897,6,982727130
904,4,982727137
906,3,982727139
899,6,982727132
908,1,982727141
909,2,982727142
880,15,982727113
901,9,982727134
903,8,982727136
905,7,982727138
907,4,982727140
916,1,982727149
915,4,982727148
917,4,982727150
918,3,982727151
911,7,982727144
922,1,982727155
921,2,982727154
811,52,982727044
914,8,982727147
924,1,982727157
923,3,982727156
913,9,982727146
926,3,982727159
