run,steps,escapers,seed
174,1,25,3916190819
175,1,25,3916190820
176,1,25,3916190821
177,1,25,3916190822
178,1,25,3916190823
179,1,25,3916190824
180,1,25,3916190825
181,1,25,3916190826
182,1,25,3916190827
184,1,25,3916190829
186,1,25,3916190831
185,1,25,3916190830
187,1,25,3916190832
183,1,25,3916190828
188,1,25,3916190833
189,1,25,3916190834
190,1,25,3916190835
191,1,25,3916190836
192,1,25,3916190837
193,1,25,3916190838
194,1,25,3916190839
195,1,25,3916190840
196,1,25,3916190841
197,1,25,3916190842
199,1,25,3916190844
198,1,25,3916190843
200,1,25,3916190845
201,1,25,3916190846
202,1,25,3916190847
203,1,25,3916190848
204,1,25,3916190849
205,1,25,3916190850
206,1,25,3916190851
207,1,25,3916190852
208,1,25,3916190853
209,1,25,3916190854
211,1,25,3916190856
212,1,25,3916190857
210,1,25,3916190855
214,1,25,3916190859
213,1,25,3916190858
215,1,25,3916190860
216,1,25,3916190861
217,1,25,3916190862
218,1,25,3916190863
219,1,25,3916190864
220,1,25,3916190865
221,1,25,3916190866
222,1,25,3916190867
223,1,25,3916190868
224,1,25,3916190869
225,1,25,3916190870
226,1,25,3916190871
227,1,25,3916190872
228,1,25,3916190873
229,1,25,3916190874
230,1,25,3916190875
231,1,25,3916190876
232,1,25,3916190877
233,1,25,3916190878
235,1,25,3916190880
236,1,25,3916190881
234,1,25,3916190879
237,1,25,3916190882
238,1,25,3916190883
239,1,25,3916190884
240,1,25,3916190885
241,1,25,3916190886
242,1,25,3916190887
243,1,25,3916190888
244,1,25,3916190889
245,1,25,3916190890
246,1,25,3916190891
248,1,25,3916190893
247,1,25,3916190892
249,1,25,3916190894
250,1,25,3916190895
251,1,25,3916190896
252,1,25,3916190897
253,1,25,3916190898
254,1,25,3916190899
255,1,25,3916190900
256,1,25,3916190901
257,1,25,3916190902
258,1,25,3916190903
260,1,25,3916190905
259,1,25,3916190904
262,1,25,3916190907
261,1,25,3916190906
263,1,25,3916190908
264,1,25,3916190909
265,1,25,3916190910
266,1,25,3916190911
267,1,25,3916190912
268,1,25,3916190913
269,1,25,3916190914
270,1,25,3916190915
272,1,25,3916190917
273,1,25,3916190918
274,1,25,3916190919
271,1,25,3916190916
275,1,25,3916190920
276,1,25,3916190921
277,1,25,3916190922
278,1,25,3916190923
279,1,25,3916190924
280,1,25,3916190925
281,1,25,3916190926
282,1,25,3916190927
283,1,25,3916190928
284,1,25,3916190929
286,1,25,3916190931
287,1,25,3916190932
285,1,25,3916190930
288,1,25,3916190933
289,1,25,3916190934
290,1,25,3916190935
291,1,25,3916190936
292,1,25,3916190937
294,1,25,3916190939
293,1,25,3916190938
295,1,25,3916190940
296,1,25,3916190941
297,1,25,3916190942
299,1,25,3916190944
298,1,25,3916190943
300,1,25,3916190945
301,1,25,3916190946
302,1,25,3916190947
303,1,25,3916190948
304,1,25,3916190949
305,1,25,3916190950
306,1,25,3916190951
307,1,25,3916190952
308,1,25,3916190953
309,1,25,3916190954
311,1,25,3916190956
312,1,25,3916190957
310,1,25,3916190955
313,1,25,3916190958
314,1,25,3916190959
316,1,25,3916190961
315,1,25,3916190960
317,1,25,3916190962
318,1,25,3916190963
319,1,25,3916190964
320,1,25,3916190965
321,1,25,3916190966
322,1,25,3916190967
323,1,25,3916190968
324,1,25,3916190969
325,1,25,3916190970
326,1,25,3916190971
327,1,25,3916190972
328,1,25,3916190973
329,1,25,3916190974
330,1,25,3916190975
331,1,25,3916190976
332,1,25,3916190977
333,1,25,3916190978
335,1,25,3916190980
334,1,25,3916190979
336,1,25,3916190981
337,1,25,3916190982
339,1,25,3916190984
338,1,25,3916190983
340,1,25,3916190985
341,1,25,3916190986
342,1,25,3916190987
343,1,25,3916190988
344,1,25,3916190989
345,1,25,3916190990
347,1,25,3916190992
346,1,25,3916190991
348,1,25,3916190993
349,1,25,3916190994
350,1,25,3916190995
351,1,25,3916190996
352,1,25,3916190997
353,1,25,3916190998
354,1,25,3916190999
355,1,25,3916191000
356,1,25,3916191001
357,1,25,3916191002
360,1,25,3916191005
361,1,25,3916191006
359,1,25,3916191004
358,1,25,3916191003
362,1,25,3916191007
363,1,25,3916191008
364,1,25,3916191009
365,1,25,3916191010
366,1,25,3916191011
367,1,25,3916191012
368,1,25,3916191013
370,1,25,3916191015
369,1,25,3916191014
371,1,25,3916191016
373,1,25,3916191018
372,1,25,3916191017
374,1,25,3916191019
375,1,25,3916191020
376,1,25,3916191021
377,1,25,3916191022
378,1,25,3916191023
379,1,25,3916191024
382,1,25,3916191027
381,1,25,3916191026
380,1,25,3916191025
383,1,25,3916191028
385,1,25,3916191030
384,1,25,3916191029
386,1,25,3916191031
387,1,25,3916191032
388,1,25,3916191033
389,1,25,3916191034
390,1,25,3916191035
392,1,25,3916191037
391,1,25,3916191036
393,1,25,3916191038
394,1,25,3916191039
395,1,25,3916191040
397,1,25,3916191042
396,1,25,3916191041
398,1,25,3916191043
399,1,25,3916191044
400,1,25,3916191045
401,1,25,3916191046
403,1,25,3916191048
402,1,25,3916191047
404,1,25,3916191049
405,1,25,3916191050
406,1,25,3916191051
407,1,25,3916191052
408,1,25,3916191053
409,1,25,3916191054
410,1,25,3916191055
411,1,25,3916191056
412,1,25,3916191057
413,1,25,3916191058
414,1,25,3916191059
415,1,25,3916191060
417,1,25,3916191062
416,1,25,3916191061
419,1,25,3916191064
421,1,25,3916191066
420,1,25,3916191065
422,1,25,3916191067
424,1,25,3916191069
423,1,25,3916191068
418,1,25,3916191063
425,1,25,3916191070
427,1,25,3916191072
428,1,25,3916191073
426,1,25,3916191071
430,1,25,3916191075
431,1,25,3916191076
429,1,25,3916191074
432,1,25,3916191077
433,1,25,3916191078
434,1,25,3916191079
435,1,25,3916191080
438,1,25,3916191083
436,1,25,3916191081
439,1,25,3916191084
441,1,25,3916191086
440,1,25,3916191085
443,1,25,3916191088
442,1,25,3916191087
445,1,25,3916191090
447,1,25,3916191092
448,1,25,3916191093
449,1,25,3916191094
450,1,25,3916191095
446,1,25,3916191091
451,1,25,3916191096
452,1,25,3916191097
444,1,25,3916191089
453,1,25,3916191098
454,1,25,3916191099
455,1,25,3916191100
456,1,25,3916191101
457,1,25,3916191102
458,1,25,3916191103
459,1,25,3916191104
460,1,25,3916191105
461,1,25,3916191106
462,1,25,3916191107
463,1,25,3916191108
464,1,25,3916191109
465,1,25,3916191110
466,1,25,3916191111
467,1,25,3916191112
468,1,25,3916191113
469,1,25,3916191114
470,1,25,3916191115
471,1,25,3916191116
472,1,25,3916191117
474,1,25,3916191119
475,1,25,3916191120
476,1,25,3916191121
473,1,25,3916191118
477,1,25,3916191122
479,1,25,3916191124
480,1,25,3916191125
482,1,25,3916191127
483,1,25,3916191128
481,1,25,3916191126
478,1,25,3916191123
484,1,25,3916191129
485,1,25,3916191130
487,1,25,3916191132
489,1,25,3916191134
486,1,25,3916191131
491,1,25,3916191136
488,1,25,3916191133
490,1,25,3916191135
492,1,25,3916191137
493,1,25,3916191138
495,1,25,3916191140
496,1,25,3916191141
497,1,25,3916191142
498,1,25,3916191143
500,1,25,3916191145
499,1,25,3916191144
503,1,25,3916191148
504,1,25,3916191149
501,1,25,3916191146
502,1,25,3916191147
505,1,25,3916191150
506,1,25,3916191151
507,1,25,3916191152
494,1,25,3916191139
508,1,25,3916191153
510,1,25,3916191155
